"customer_id","idade_cliente"
"73650706FFAE",51
"236A739A6063",55
"CF2DFCBE74E3",78
"25504A496AEB",76
"05DE6BCDFEC7",61
"CF65A8E9C692",65
"AC89FF38B365",72
"1D4EF6B29AFF",42
"F21B059B9F17",37
"DC3D147117FA",26
"396D41F99C9C",51
"702ACBD43CA6",36
"52A9C7E2441F",21
"E82E5C777CE7",22
"8A5040BFAB7F",77
"E8FCDD91F72A",79
"EE33C47335C7",39
"A17D82741504",43
"97DD100EB27C",39
"7C01785F6A0C",46
"A7BFC984A2C9",29
"D364A67E037C",26
"D8C3C3A88992",35
"F9C49F829499",28
"E257C6B10E8B",35
"E07F4711645C",49
"BAB0318DB389",38
"55B0ADDABC11",61
"E4D40F9C3BFA",28
"202434D5754A",61
"0437338C71BC",41
"715C9E8C69C7",60
"21379F9BBF3E",41
"7D2B29472E6D",27
"0A43DCD7AB8D",77
"B9E466CBDCBF",78
"C23C90A8BFFB",59
"BEDD88C4026E",30
"53BBC9A94263",36
"6D11FFE478DE",63
"1465C7114614",30
"D4EC678A1679",39
"1E494B1410A1",57
"5E91CD4BD1DB",54
"2B61B9607C8B",29
"D32B01BFE8D9",64
"992C017596CE",48
"8B0BDD71EB97",78
"2B6E04A18764",24
"8E3911A75407",36
"00B210ED681B",51
"3C1F670A611C",38
"C97F65E91BEE",43
"C7ABF1131EAB",27
"6C609EF10574",32
"C8F915BA3531",50
"B1571A7C773C",64
"E71DB3AFE8C9",49
"7D02B583F743",52
"195E2CD33E2D",26
"C36EFF17D5C8",27
"8FA6B834248D",42
"4E94FF691FE3",32
"17F81D20722B",34
"1E7E14892F7C",56
"1D4987ABD065",28
"B574FBA0D4EC",65
"39A91D658448",28
"A01CE0460C23",60
"DDFD026BC732",42
"B65A27A94508",36
"9E674820553C",45
"4CE1FD09A931",38
"48CBA0A17D6A",30
"8CD31BF4983A",37
"25A4BD5D7BB4",34
"503C8E361A64",52
"811D0350EC63",52
"766DD81D679A",33
"8D59FF9962F2",65
"F42585BEA96C",28
"F9EE9BB9C18D",67
"B1D3CC2003FF",32
"6E3464C56D8F",26
"8D823422FB2D",60
"B178E21364E7",24
"2C39D7885DFB",46
"318DEE1D57FD",59
"90DB7601D2D5",54
"6FB1CAF80A4B",41
"DC82B5EEE067",81
"2525146B7C29",65
"FAFE41D71061",23
"DDB95F70F790",62
"41510FEE329A",49
"8016DA196B91",35
"0B31EEB726FF",29
"14A9AE544043",41
"A70A75B409D5",29
"91C54E7117C4",57
"A52F2F117E6C",28
"B9203200A436",23
"E385054F7D09",71
"830532BA410F",70
"E624470FB92E",27
"8DAA31BBA135",53
"E0AD3E0462A2",30
"02CCF5181CF1",26
"25DD1144B703",57
"81F3EB9899EF",25
"730FE345340F",41
"767BBA816DFE",28
"B3CE1774BE23",41
"07345DD09E8D",39
"0C699A426317",33
"973E8F5918BD",58
"2ED104936B12",63
"48D21EDCF22A",65
"6C40A796AE26",24
"E726F9FA1330",30
"BC72F52C2492",32
"2D86E89C647D",32
"0D64836D3AC7",51
"A1C9943C9C09",45
"DCF3D7B3DE12",26
"276FF2031EFE",39
"42DDE4956CAE",77
"2CEE94DECEBD",80
"4115F4AD6453",49
"9CA0F581FB5F",21
"C7404E73C7FA",37
"5A1876DAC992",22
"A30B40367A48",51
"666620CE839D",50
"3596E6923DB9",49
"D1A36DE1EA4E",42
"CC277D86F7B9",47
"831AC8C59DBC",54
"AD320EA58D45",48
"3721F8497B4F",52
"319416107D79",59
"345762321BC4",79
"F7FC53658093",57
"7F317BC7BE01",60
"C58699051988",69
"FC57EBE1D4B2",55
"AD34EC0C4C41",29
"EF38D0736A93",70
"889AD19B7B4F",66
"8CA7B3AF6FFD",81
"F5369384416F",26
"835FF748D2C9",71
"9C020575CE0B",47
"EBA29DF84BF1",57
"500419E8614E",31
"386D78447302",69
"545AE3B4E2DB",26
"F896CC31D877",63
"3B019278D82E",57
"99082633B240",24
"8A4A906427F3",51
"BD4F37482958",34
"119BEB5595A7",26
"A9B4FE34ACB7",28
"CBB2007ADCAA",32
"2A6A90712638",43
"5214A8DB758D",59
"DB96263C92E0",33
"165B71DE7337",46
"A1FDEAD5540A",44
"4A64EEB775DF",23
"AE1FE43DD58D",34
"3BDDF708564C",43
"40BC49698392",36
"3D4BBC7E1D15",64
"5886FF33B1C5",34
"FA25DB22BD56",71
"651B08D5606F",27
"9772810D556C",24
"13B55AAB5201",54
"2C404A6844AC",70
"4F8C33F6402E",53
"C5C51B47CBB6",34
"E142750ECC61",38
"682153616D3F",50
"F655C270A234",31
"76C08554CFD5",80
"8B21BEE157E5",35
"3801CD7CDCA1",48
"8387AAD1AC66",61
"5D110B69C61F",23
"2F9FF0ED55AC",23
"BD1E0A271242",23
"7D27F18ECA0C",36
"7E5D070841CD",29
"F6F6FE6A9E55",75
"59A0DC1A3A34",33
"C0054A045953",25
"467A3E4FC4AF",35
"4F7AB69FD193",26
"39D4DE9593F2",47
"905E937145C6",50
"F0923C413DB5",28
"860270E7251A",26
"504280DA40BE",53
"8F7B654E4993",55
"0667C04B55D4",62
"730902A0982B",78
"5F11EBF7AF1F",37
"5457CED1BE30",40
"B70B016B31F7",44
"C5FCF40DF6E9",38
"355DBCA66B69",39
"B5C5C2E8F0FF",29
"E045ED7D57F5",29
"64DEAD83F5F8",68
"8E07E3035B87",32
"C4639218368F",65
"05FDBB01D7E1",33
"97BAC86173C2",57
"7918090CD9C7",66
"24C626277CA0",41
"9950C80F4462",43
"3C920A44E215",47
"56B87B6AD5D4",74
"A1BA1BF41272",27
"206FE6A36B42",35
"2F0D6D036D1A",70
"E5CBEC060BC0",21
"040C1FCB9AE5",25
"306673A2BBC6",27
"EB604E94DE17",42
"B9408C9B7CEA",40
"06825B4E503E",32
"3169EADDCCBA",51
"6C7F94930783",50
"A762291B8BEB",47
"12AC5485B3FD",33
"0F7ED8AAFCC3",38
"BC6F9E11302B",53
"615A00E65189",24
"CA35A3420A4F",35
"7228A36A0F31",42
"A806B900DC72",51
"A1FB0B15CFF1",38
"F360E2BF8E1D",29
"51C1400D375D",25
"987BBCB4ED2B",74
"2638441971CB",40
"660B77CB5081",42
"2B06BC25D3D6",47
"BC1956D652CF",76
"CD4FEF29F01F",46
"357CC6031150",25
"8E5A8877CA98",26
"96826FF06662",61
"94A9E107122A",54
"6F2B59796E1B",53
"D33BE5CAE885",80
"CFBFEB1AAA57",55
"5CEF0A40AA4D",62
"EF4548220110",56
"70524A5EA903",33
"B6BF93FDE0AE",46
"FE44E31C87CA",29
"0C9A8585CE1D",24
"54863BD83D75",57
"87425FA205AD",28
"51DA01A5021B",69
"CAF54884CFAA",41
"3DE30B8A76C4",51
"AB67D51A9B74",40
"CBBEB776D105",35
"E624764DB839",34
"AF4481526DC3",53
"FB4CD549BBBF",68
"9FD3B87BF895",82
"AA89853F0863",67
"818EB3708852",31
"C3B7375EC74D",64
"155E42C2D862",24
"7F4187727C23",82
"AE8C2E56B80E",46
"B2107A0BCA7A",32
"F8B546BB6C81",21
"CE12713C8FCD",44
"AC2C7A3C9893",33
"2B1E47F00895",54
"8D3EAF6E3AA3",21
"A6BB451EA95A",22
"858F7ED1EDCB",43
"0E648840C80A",49
"E3E27003DB0C",46
"DD3E8FD1485C",60
"55984AD30334",34
"1CFFF5A89F2F",41
"83D595726E51",68
"324603A5F308",40
"CA0741DF2115",63
"237ADC266862",52
"6EB532D956F5",41
"68A0CB4ADDDC",52
"72896639DF67",24
"C580CACDBDD1",50
"64795ECDFEE6",44
"48663AFA573B",51
"7FC058A24CE5",80
"7CC0BF23A6A0",21
"6B1285ADCDCE",23
"70EDF4A36DD9",48
"A15074D99FDC",30
"B67113B3A248",32
"21DEF730DFCF",22
"8A220124224C",38
"5114E01D8BDD",61
"78D5273A0D74",49
"D48B13BCB0D8",26
"3F559A98D4E0",59
